entnum;Ellix;fj;score;nom
502863889;IE4;5499;3;FAKTORI
478250863;IE2;5498;2;VENTOUX BATIMENT SECOND OEUVRE
350859898;NA;1200;6;SEGALINI BERNARD MICHEL
380980359;IE4;5710;4;P V C 4
533947180;IE4;5499;4;ECLAIRAGE COMMERCE
538097023;IE4;5498;2;SERMEX
523996809;NA;1200;4;BOUVART CHRISTOPHER
419890215;IE4;5499;8;G FINANCE
414502922;IE4;5499;5;MANIFESTORY
507576270;NA;1200;7;PENDUFF DIDIER
498025931;IE4;5485;7;SELARL PHARMACIE ZEROUKIAN VALENCE II
414616425;IE4;5499;3;ULTRA
521424184;IE4;5499;6;SUNVALLEE
414625939;IE4;5499;3;SARL LES VERGERS DES VAUX DE LOIR
797460235;IE4;5710;3;SOCIETE DE MONSIEUR BARBIER
444413579;IE4;5499;4;STRATUS FACTORY
493115679;IE2;5498;1;PROSOL
493115679;IE2;5498;1;PROSOL
432821403;NA;1200;7;CECCALDI (MARIE ANTOINETTE RAYMONDE)
481328946;IE4;5498;4;SOC NOUV ETS PAULIN DOS SANTOS ENVIRON
509651725;IE4;5499;4;AGRI JARDINERIE LECOUFFE
532716636;IE4;5710;3;FASUAL
531049898;IE4;5710;6;SNUG NEST
321225914;IE4;5710;4;COLOREY
519615264;IE3;5499;2;DROME ARDECHE RENOVATION
515397966;IE4;5710;3;TECHNITHERM
480652791;IE4;5498;3;SOCIETE NOUVELLE ASSOR
484956974;IE4;5499;5;CRAZYMAG SAINT BONNET DE MURE
507591741;IE4;5498;5;EURL PHARMACIE HASSID
582052049;IE4;5710;4;BLANCHISSERIE TEINTURERIE WARTNER
503149809;IE4;5499;5;A T BONAMY
528291354;NA;1200;6;CARUSO BRIGITTE
453291882;IE4;5720;6;LA VIE SIMPLE
309307395;IE4;5710;5;VITRERIE SALONAISE
452291925;IE4;5710;3;LE MAS DE THAU
448372680;NA;6598;7;EARL DE LABOURDASSE
393972658;IE4;5499;5;P5 LOISIRS
478025976;IE3;5499;2;SARL JEAN GABRIEL MACAIRE
478969918;IE4;5499;5;SARL LES VOYAGEURS
350981544;IE4;5499;6;LAVERIE AUTOMATIQUE ET DIVERS
790923445;NA;5710;0;EMOTIONS GOURMANDES
