Date,Open,High,Low,Close,Volume,Adj Close
2015-04-14,122.05,122.75,121.15,121.90,771300,119.25
2015-04-13,122.50,122.85,121.95,122.25,780500,119.5924
2015-04-10,122.70,122.90,121.95,122.60,708000,119.9348
2015-04-09,120.50,122.45,120.45,122.45,638200,119.788
2015-04-08,121.05,122.15,120.30,120.40,633900,117.7826
2015-04-07,120.00,122.25,120.00,121.30,782200,118.663
2015-04-06,119.80,119.80,119.80,119.80,000,117.1957
2015-04-03,119.80,119.80,119.80,119.80,000,117.1957
2015-04-02,119.80,120.30,119.10,119.80,601000,117.1957
2015-04-01,119.35,122.10,119.00,120.20,808800,117.587
2015-03-31,120.85,122.20,119.80,119.80,1090400,117.1957
2015-03-30,120.85,122.20,120.85,121.40,847600,118.7609
2015-03-27,120.00,120.65,119.60,120.15,780700,117.538
2015-03-26,119.95,120.25,118.50,119.75,1116000,117.1467
2015-03-25,122.00,122.05,120.35,120.40,654200,117.7826
2015-03-24,120.95,122.15,120.65,121.80,714500,119.1522
2015-03-23,122.10,122.15,120.40,120.80,686300,118.1739
2015-03-20,121.35,122.50,121.30,121.80,1554300,119.1522
2015-03-19,122.20,123.20,121.35,121.50,955900,118.8587
2015-03-18,122.10,122.70,121.35,122.35,695800,119.6902
2015-03-17,122.30,123.55,121.55,122.30,782100,119.6413
2015-03-16,120.65,122.75,120.65,122.40,840400,119.7391
2015-03-13,120.50,120.95,119.80,120.65,856600,118.0272
2015-03-12,120.40,121.20,120.20,120.70,629000,118.0761
2015-03-11,118.25,121.35,118.10,121.10,1049600,118.4674
2015-03-10,118.20,118.65,117.45,117.55,805400,114.9946
2015-03-09,117.65,118.75,117.25,118.75,656400,116.1685
2015-03-06,117.50,118.95,117.45,118.60,720300,116.0217
2015-03-05,117.65,119.10,117.30,118.85,734800,116.2663
2015-03-04,116.45,117.90,116.25,117.85,695000,115.288
2015-03-03,117.30,118.60,116.50,116.70,562500,114.163
2015-03-02,118.00,118.35,117.30,117.75,658300,115.1902
2015-02-27,117.05,118.10,116.80,118.10,779000,115.5326
2015-02-26,116.95,117.55,116.35,117.55,665300,114.9946
2015-02-25,116.55,117.00,116.25,116.75,604500,114.212
2015-02-24,115.30,116.95,115.25,116.55,872500,114.0163
2015-02-23,116.55,116.80,114.80,115.90,833400,113.3804
2015-02-20,115.45,116.60,114.80,115.85,1526900,113.3315
2015-02-19,114.00,115.85,114.00,115.50,797000,112.9891
2015-02-18,115.00,115.75,114.40,114.90,717800,112.4022
2015-02-17,113.00,114.55,112.00,114.10,917500,111.6196
2015-02-16,115.70,116.25,114.30,114.95,578600,112.4511
2015-02-13,116.30,116.65,115.55,115.95,761500,113.4293
2015-02-12,113.45,116.55,113.45,115.80,882900,113.2826
2015-02-11,113.00,113.80,112.70,113.50,512700,111.0326
2015-02-10,112.20,114.00,111.50,113.60,752500,111.1304
2015-02-09,111.50,112.55,110.70,112.25,895600,109.8098
2015-02-06,113.80,114.00,111.95,112.20,836500,109.7609
2015-02-05,113.00,113.95,112.70,113.95,562200,111.4728
2015-02-04,112.80,113.90,112.35,113.90,712400,111.4239
2015-02-03,113.50,113.85,112.15,113.10,929000,110.6413
2015-02-02,111.95,113.10,111.45,113.10,734400,110.6413
2015-01-30,112.50,112.70,111.15,112.00,1053400,109.5652
2015-01-29,110.10,112.25,109.80,112.25,982200,109.8098
2015-01-28,111.80,111.95,109.85,110.55,1044100,108.1467
2015-01-27,111.95,112.65,110.15,111.00,899800,108.587
2015-01-26,109.40,111.85,109.20,111.85,939900,109.4185
2015-01-23,108.60,110.00,108.20,109.85,1339100,107.462
2015-01-22,106.00,108.40,105.10,108.10,1261100,105.75
2015-01-21,105.60,106.25,104.50,106.25,1171300,103.9402
2015-01-20,104.60,106.00,104.55,106.00,830200,103.6957
2015-01-19,104.10,105.45,103.75,104.90,591300,102.6196
2015-01-16,102.60,104.30,102.30,104.15,1071400,101.8859
2015-01-15,102.30,103.50,98.68,103.30,1227400,101.0544
2015-01-14,100.75,102.60,100.40,101.10,754300,98.9022
2015-01-13,101.15,103.05,100.85,102.45,686700,100.2228
2015-01-12,100.30,102.20,100.05,101.45,637600,99.2446
2015-01-09,101.50,101.90,99.10,99.71,871900,97.5424
2015-01-08,99.31,102.35,98.93,102.00,999700,99.7826
2015-01-07,98.20,98.78,97.20,97.88,752400,95.7522
2015-01-06,98.04,98.69,97.02,97.44,1380400,95.3217
2015-01-05,101.00,102.70,98.11,98.26,1100800,96.1239
2015-01-02,103.00,103.85,101.00,101.40,598500,99.1957
2015-01-01,102.85,102.85,102.85,102.85,000,100.6141
2014-12-31,101.90,103.00,101.70,102.85,117900,100.6141
2014-12-30,103.00,103.30,102.00,102.00,501200,99.7826
2014-12-29,102.90,103.35,102.05,103.35,474200,101.1033
2014-12-26,102.75,102.75,102.75,102.75,000,100.5163
2014-12-25,102.75,102.75,102.75,102.75,000,100.5163
2014-12-24,102.00,103.00,101.15,102.75,145100,100.5163
2014-12-23,102.50,103.60,101.95,103.60,649900,101.3478
2014-12-22,102.00,102.60,101.65,102.20,512100,99.9783
2014-12-19,102.15,102.25,100.00,101.20,1301200,99.00
2014-12-18,100.60,101.50,100.05,101.50,1135900,99.2935
2014-12-17,97.55,99.45,96.71,99.03,1804300,96.8772
2014-12-16,94.85,98.41,93.01,98.41,2700900,96.2707
2014-12-15,96.60,97.40,94.44,94.44,1185800,92.387
2014-12-12,98.55,99.08,96.81,96.81,1063900,94.7054
2014-12-11,99.60,99.95,98.60,98.97,843100,96.8185
2014-12-10,100.30,101.25,99.60,99.80,563800,97.6304
2014-12-09,100.35,101.45,99.80,99.80,858200,97.6304
2014-12-08,101.55,101.85,100.80,101.25,536100,99.0489
2014-12-05,101.35,102.30,101.20,102.30,852500,100.0761
